"entity","brand","updated_week_ending_date","forecast_channel","productline","producttype","productvariant","productform","shipment_sales","shipment_units","pos_sales","pos_units"
"The Gorilla Glue Company LLC","OKeeffes",2024-11-10,"WALMART US","Lip Balm","Lip Repair","Combo","Mixed Pack",NA,NA,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"WALMART US","Hand Cream","Working Hands","Original","Jar",NA,NA,171649.16,17727
"The Gorilla Glue Company LLC","OKeeffes",2024-11-10,"WALMART US","Lip Balm","Lip Repair","SPF","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-11-10,"WALMART US","Lip Balm","Lip Repair","Unscented","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"WALMART US","Foot Cream","Healthy Feet","Intense Renewal","Tube",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-12-01,"WALMART US","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"WALMART US","Hand Soap","Working Hands","Unscented","Pump",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2025-05-11,"MENARDS","Body Cream","Skin Repair","Original","Pump",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-09-01,"MENARDS","Lip Balm","Lip Repair","Cooling","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Multiple","Product","Combo","Mixed Pack",NA,NA,1248.75,125
"The Gorilla Glue Company LLC","OKeeffes",2024-07-21,"MENARDS","Lip Balm","Lip Repair","Seal & Heal","Stick",NA,NA,NA,16
"The Gorilla Glue Company LLC","OKeeffes",2024-07-07,"MENARDS","Multiple","Product","Combo","Mixed Pack",NA,NA,849.15,85
"The Gorilla Glue Company LLC","OKeeffes",2024-10-06,"MENARDS","Foot Cream","Healthy Feet","Original","Tube",NA,NA,459.37,71
"The Gorilla Glue Company LLC","OKeeffes",2024-08-18,"MENARDS","Multiple","Product","Combo","Mixed Pack",NA,NA,849.15,85
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"MENARDS","Lip Balm","Lip Repair","Unscented","Stick",NA,NA,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-11-17,"MENARDS","Lip Balm","Lip Repair","Cherry","Stick",NA,NA,NA,584
"The Gorilla Glue Company LLC","OKeeffes",2025-01-05,"MENARDS","Lip Balm","Lip Repair","Cooling","Tube",NA,NA,7.98,2
"The Gorilla Glue Company LLC","OKeeffes",2024-12-29,"MENARDS","Body Cream","Skin Repair","Eczema Relief","Tube",NA,NA,0,0
